time,tavg,tmin,tmax,prcp,wspd,pres,tsun
2020-01-01,2.1,-1.6,5.8,45.0,10.6,1021.4,
2020-02-01,1.7,-3.2,6.5,32.0,11.1,1021.8,
2020-03-01,8.0,3.1,12.9,39.0,15.0,1014.0,
2020-04-01,11.8,5.9,17.8,7.0,13.4,1013.6,
2020-05-01,18.2,11.7,24.7,10.0,14.7,1011.8,
2020-06-01,21.2,14.1,28.3,48.0,14.5,1010.5,
2020-07-01,27.3,19.7,34.8,7.0,12.8,1009.8,
2020-08-01,28.4,20.9,35.8,3.0,12.4,1009.5,
2020-09-01,20.7,13.1,28.4,5.0,12.7,1016.2,
2020-10-01,13.4,6.1,20.6,7.0,11.1,1018.1,
2020-11-01,5.8,0.3,11.4,18.0,12.0,1020.0,
2020-12-01,-1.1,-5.4,3.3,9.0,9.0,1025.7,
2021-01-01,0.6,-4.1,5.3,22.0,10.4,1022.1,
2021-02-01,2.5,-1.6,6.5,45.0,11.7,1017.4,
2021-03-01,7.1,1.3,12.8,40.0,14.0,1015.7,
2021-04-01,10.7,4.4,17.1,46.0,13.0,1013.5,
2021-05-01,17.1,10.4,23.7,17.0,13.3,1011.1,
2021-06-01,26.8,19.3,34.2,3.0,14.6,1008.9,
2021-07-01,29.8,22.8,36.9,13.0,12.8,1011.0,
2021-08-01,24.9,17.7,32.0,58.0,13.4,1011.1,
2021-09-01,21.3,14.0,28.6,4.0,12.6,1013.8,
2021-10-01,11.8,6.1,17.4,89.0,12.8,1015.5,
2021-11-01,7.2,2.1,12.3,9.0,8.6,1023.5,
2021-12-01,1.5,-3.0,6.1,46.8,14.5,1015.0,
